Count of TerminationType,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3452,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1
jaydon.blackburn@bilearner.com,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1
General - Con,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1
3453,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,1
bridger.carter@bilearner.com,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,1
Fielders,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,1
3454,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,1
leon.beard@bilearner.com,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,1
General - Con,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,1
3455,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,1
charity.miranda@bilearner.com,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,1
Project Management - Eng,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,1
Grand Total,1,1,1,2,1,1,1,2,10,1,1,1,1,1,2,7,2,1,4,1,1,1,10,27,1,1,1,1,2,29
